epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0269,1.4403,2.57439,1.23319,0.20561,0.18877,0.18047,0.10519,1.36767,6.10823,1.24287,0.0701531,0.00331633,0.00331633
2,35.4163,1.42255,1.81815,1.23281,0.26115,0.41989,0.27009,0.16472,1.30128,2.30098,1.19986,0.0400214,0.006518,0.006518
3,50.6102,1.38125,1.65891,1.22636,0.42894,0.59437,0.44135,0.24033,1.40435,4.23227,1.27313,0.00975773,0.00958767,0.00958767
4,65.8314,1.33054,1.57201,1.21846,0.62296,0.58366,0.4685,0.32005,1.13158,1.40063,1.13748,0.009406,0.009406,0.009406
5,81.5194,1.29494,1.4595,1.16541,0.3722,0.67614,0.44891,0.29435,1.12463,1.5783,1.14301,0.009208,0.009208,0.009208
6,97.3865,1.21845,1.39258,1.14503,0.48013,0.70235,0.5215,0.361,1.08287,1.33057,1.09076,0.00901,0.00901,0.00901
7,113.39,1.16358,1.39,1.13293,0.53649,0.60177,0.50878,0.34683,1.07355,1.30982,1.13069,0.008812,0.008812,0.008812
8,129.539,1.17085,1.35815,1.13958,0.40731,0.72721,0.52505,0.3701,1.05575,1.26704,1.09317,0.008614,0.008614,0.008614
9,145.758,1.11952,1.274,1.10181,0.65363,0.54067,0.61307,0.42306,1.06344,1.25415,1.10135,0.008416,0.008416,0.008416
10,162.149,1.11649,1.27905,1.09385,0.44935,0.7282,0.59217,0.42102,1.06349,1.18497,1.09255,0.008218,0.008218,0.008218
11,178.876,1.08685,1.21155,1.06371,0.627,0.74303,0.67407,0.47521,1.06065,1.11899,1.1203,0.00802,0.00802,0.00802
12,195.665,1.11672,1.21799,1.09743,0.55465,0.71515,0.64877,0.46479,1.02915,1.10248,1.0893,0.007822,0.007822,0.007822
13,212.573,1.16624,1.22372,1.10018,0.58551,0.7736,0.71685,0.50108,1.11298,1.0746,1.11235,0.007624,0.007624,0.007624
14,229.743,1.04034,1.12994,1.05052,0.62157,0.70814,0.73299,0.53299,0.95935,1.05445,1.05002,0.007426,0.007426,0.007426
15,246.986,1.03855,1.06961,1.06574,0.64651,0.7857,0.75408,0.55545,0.99484,0.9289,1.074,0.007228,0.007228,0.007228
16,264.296,1.05764,1.06115,1.0506,0.67178,0.75895,0.79058,0.59186,0.92214,0.94753,1.02309,0.00703,0.00703,0.00703
17,281.709,1.01916,1.0494,1.03731,0.67847,0.71357,0.77339,0.56361,0.9814,0.94954,1.06627,0.006832,0.006832,0.006832
18,299.178,1.04821,1.08003,1.07327,0.69088,0.74267,0.76484,0.56409,0.9518,0.95566,1.05383,0.006634,0.006634,0.006634
19,316.774,1.00753,1.01357,1.03746,0.65906,0.75134,0.76609,0.56992,0.92556,0.92275,1.05059,0.006436,0.006436,0.006436
20,334.396,1.00953,0.95218,1.03631,0.67187,0.75835,0.79589,0.60093,0.92157,0.9257,1.03162,0.006238,0.006238,0.006238
21,351.895,1.00202,0.93598,1.03087,0.79824,0.72944,0.83788,0.63004,0.92604,0.83859,1.02489,0.00604,0.00604,0.00604
22,369.44,1.00234,0.92336,1.03343,0.6442,0.8765,0.82076,0.62294,0.88491,0.84872,1.01738,0.005842,0.005842,0.005842
23,387.023,0.98683,0.93179,1.02152,0.75016,0.84449,0.87603,0.6625,0.91203,0.80369,1.02527,0.005644,0.005644,0.005644
24,404.595,0.95051,0.86205,1.03159,0.76495,0.78091,0.87415,0.68123,0.86059,0.81001,1.003,0.005446,0.005446,0.005446
25,422.356,0.94077,0.8719,1.00273,0.76846,0.7671,0.84912,0.64697,0.93175,0.82599,1.03807,0.005248,0.005248,0.005248
26,439.989,0.92665,0.85969,1.00105,0.89304,0.76058,0.88944,0.67784,0.88009,0.74092,1.00174,0.00505,0.00505,0.00505
