epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9932,1.4403,2.57439,1.23319,0.20561,0.18877,0.18047,0.10519,1.36767,6.10823,1.24287,0.0701531,0.00331633,0.00331633
2,44.9118,1.42716,1.82403,1.23485,0.21308,0.30493,0.22174,0.14051,1.26329,2.93018,1.17076,0.0398897,0.00638633,0.00638633
3,60.1455,1.36727,1.64921,1.20627,0.53895,0.48021,0.36582,0.22555,1.30395,3.18322,1.18497,0.00936241,0.00919234,0.00919234
4,75.8935,1.32698,1.56468,1.18743,0.41896,0.56731,0.48293,0.29754,1.23035,1.5487,1.18351,0.008812,0.008812,0.008812
5,91.5952,1.27666,1.47904,1.17357,0.3572,0.79001,0.46928,0.31498,1.14445,1.3209,1.13472,0.008416,0.008416,0.008416
6,107.565,1.21723,1.37127,1.13357,0.38212,0.74358,0.53565,0.37773,1.04163,1.27785,1.08547,0.00802,0.00802,0.00802
7,123.561,1.17017,1.35638,1.12102,0.43329,0.76592,0.57478,0.41466,1.0318,1.22863,1.07565,0.007624,0.007624,0.007624
8,139.792,1.1611,1.33401,1.09727,0.36285,0.70945,0.45533,0.31312,1.07168,1.42117,1.09004,0.007228,0.007228,0.007228
9,156.381,1.1207,1.25959,1.09615,0.44669,0.73855,0.63051,0.44485,1.02157,1.13721,1.09185,0.006832,0.006832,0.006832
10,173.235,1.10225,1.24342,1.08122,0.51904,0.79034,0.67299,0.48298,1.01648,1.08654,1.07282,0.006436,0.006436,0.006436
11,190.134,1.08518,1.19412,1.05267,0.54568,0.76585,0.65039,0.46267,1.08747,1.11144,1.09585,0.00604,0.00604,0.00604
12,207.275,1.06127,1.18762,1.06105,0.6023,0.74505,0.70454,0.51684,0.98134,1.04045,1.05135,0.005644,0.005644,0.005644
13,224.548,1.05982,1.13073,1.05649,0.61643,0.69223,0.70709,0.53508,0.91715,1.00953,1.03823,0.005248,0.005248,0.005248
14,242.158,0.99446,1.06312,1.02832,0.58094,0.73728,0.72151,0.54011,0.91367,0.94551,1.01575,0.004852,0.004852,0.004852
15,259.352,0.99009,1.0284,1.03548,0.63912,0.78357,0.76661,0.58662,0.92642,0.9308,1.02874,0.004456,0.004456,0.004456
16,301.932,0.93016,0.96182,1.01352,0.68154,0.70138,0.75152,0.57563,0.89136,0.95684,1.01574,0.00406,0.00406,0.00406
17,318.75,0.90331,0.90339,1.00088,0.65613,0.73079,0.7763,0.6014,0.87766,0.89156,1.00354,0.003664,0.003664,0.003664
18,335.866,0.88621,0.85983,0.99797,0.68132,0.85719,0.84541,0.64259,0.88171,0.82397,0.98435,0.003268,0.003268,0.003268
19,353.13,0.90028,0.82415,0.99796,0.75823,0.80571,0.85023,0.65593,0.8641,0.80348,0.98426,0.002872,0.002872,0.002872
20,371.671,0.86887,0.80849,0.98017,0.75196,0.83051,0.86052,0.66704,0.85296,0.75663,0.97835,0.002476,0.002476,0.002476
21,388.682,0.85923,0.75339,0.98598,0.80548,0.82501,0.88471,0.66864,0.92937,0.76537,1.00832,0.00208,0.00208,0.00208
22,405.868,0.85185,0.73158,0.95446,0.81395,0.87836,0.90226,0.69314,0.87309,0.71185,0.98255,0.001684,0.001684,0.001684
23,423.925,0.81149,0.7047,0.94822,0.83472,0.83658,0.90986,0.69586,0.85069,0.69178,0.97112,0.001288,0.001288,0.001288
24,441.478,0.80272,0.68898,0.94804,0.8603,0.84852,0.91439,0.71908,0.82271,0.67352,0.96766,0.000892,0.000892,0.000892
25,458.63,0.78657,0.65843,0.93692,0.87766,0.79853,0.91325,0.72085,0.80816,0.66333,0.96016,0.000496,0.000496,0.000496
