epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8391,1.47671,2.87012,1.22218,0.00602,0.1158,0.00374,0.00119,2.16496,inf,3.32719,0.0706122,0.00326531,0.00326531
2,23.4863,1.36292,1.71251,1.24095,0.0054,0.14963,0.01453,0.00588,1.75961,inf,1.77503,0.0403509,0.00633733,0.00633733
3,32.4928,1.32461,1.593,1.24357,0.19724,0.34393,0.21647,0.11877,1.56312,2.89276,1.47562,0.00982563,0.00914536,0.00914536
4,40.922,1.22187,1.42492,1.20018,0.32514,0.5543,0.26079,0.16173,1.24646,5.56245,1.36918,0.008812,0.008812,0.008812
5,49.316,1.20423,1.32726,1.17537,0.39343,0.60768,0.46852,0.29519,1.27288,1.62529,1.30827,0.008416,0.008416,0.008416
6,57.7063,1.15788,1.327,1.16132,0.67297,0.49989,0.54324,0.36598,1.12509,1.50177,1.24792,0.00802,0.00802,0.00802
7,66.1153,1.15608,1.28536,1.12402,0.4778,0.64782,0.58315,0.34736,1.36344,1.49762,1.34834,0.007624,0.007624,0.007624
8,74.5862,1.1147,1.21539,1.12833,0.45125,0.7926,0.60827,0.432,1.0598,1.2341,1.15538,0.007228,0.007228,0.007228
9,83.2416,1.09001,1.19367,1.08028,0.52151,0.75253,0.60923,0.42141,1.04921,1.10302,1.17357,0.006832,0.006832,0.006832
10,91.7739,1.05721,1.12921,1.09116,0.61148,0.61981,0.65472,0.46261,0.99392,1.04113,1.11731,0.006436,0.006436,0.006436
11,100.574,1.09248,1.12664,1.06831,0.63291,0.68136,0.69177,0.4891,0.99916,1.17757,1.13137,0.00604,0.00604,0.00604
12,109.344,1.00658,1.07875,1.07402,0.71584,0.56235,0.59431,0.44898,0.92892,1.36829,1.11218,0.005644,0.005644,0.005644
13,118.091,1.01925,1.03617,1.06528,0.62434,0.64129,0.68062,0.50245,0.96503,1.09704,1.13027,0.005248,0.005248,0.005248
14,126.94,1.00711,0.99179,1.04744,0.63775,0.70693,0.76079,0.5568,0.99946,0.92696,1.09618,0.004852,0.004852,0.004852
15,135.765,0.99684,0.96988,1.04833,0.65357,0.75059,0.76147,0.55819,0.93005,0.91664,1.08273,0.004456,0.004456,0.004456
16,173.429,0.94367,0.9385,1.06285,0.66951,0.69715,0.7596,0.56748,0.92813,0.89929,1.10329,0.00406,0.00406,0.00406
17,182.239,0.91913,0.85603,1.04401,0.72601,0.84483,0.85275,0.65982,0.86108,0.82302,1.05338,0.003664,0.003664,0.003664
18,190.803,0.89405,0.8255,1.02762,0.84321,0.71632,0.82188,0.63773,0.86573,0.80252,1.03868,0.003268,0.003268,0.003268
19,199.368,0.89608,0.81993,1.03086,0.78391,0.8458,0.87358,0.67588,0.86405,0.72334,1.05889,0.002872,0.002872,0.002872
20,208.095,0.86185,0.74564,1.01396,0.79865,0.80115,0.87999,0.68584,0.83504,0.68873,1.0481,0.002476,0.002476,0.002476
21,216.868,0.83803,0.728,0.99916,0.85141,0.79164,0.89254,0.6973,0.843,0.70327,1.03348,0.00208,0.00208,0.00208
22,225.629,0.81725,0.69091,0.99628,0.86121,0.82385,0.90315,0.6908,0.88038,0.64933,1.06278,0.001684,0.001684,0.001684
23,234.434,0.79152,0.67603,0.98274,0.85192,0.87151,0.9051,0.70716,0.82547,0.65039,1.0258,0.001288,0.001288,0.001288
24,243.263,0.78493,0.64907,0.98081,0.82051,0.8606,0.91368,0.71162,0.83914,0.62803,1.02215,0.000892,0.000892,0.000892
25,252.068,0.77607,0.62279,0.96521,0.87078,0.85178,0.92496,0.73244,0.80636,0.61108,1.00491,0.000496,0.000496,0.000496
