epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1402,1.62214,3.66542,1.27935,0.00037,0.03505,0.00017,5e-05,1.88603,33.0876,2.34382,0.0784,0.0024,0.0024
2,26.2555,1.39218,1.86455,1.21093,0.00037,0.03505,0.00017,5e-05,3.91286,inf,28.319,0.055803,0.00480298,0.00480298
3,36.7238,1.31243,1.58348,1.17493,0.00037,0.03505,0.00017,5e-05,2.97509,inf,3.29991,0.033107,0.00710696,0.00710696
4,44.2977,1.27108,1.48201,1.16464,0.02874,0.08459,0.01597,0.00875,1.82395,16.2646,1.51266,0.0103119,0.00931194,0.00931194
5,52.2184,1.21413,1.42459,1.13501,0.29109,0.40348,0.24199,0.1613,1.47062,2.78436,1.43679,0.009208,0.009208,0.009208
6,59.7544,1.17978,1.36577,1.11936,0.09123,0.33446,0.09981,0.06857,1.30897,6.92725,1.33847,0.00901,0.00901,0.00901
7,67.3086,1.14987,1.25137,1.10165,0.63683,0.35361,0.32417,0.20915,1.47001,2.45688,1.51756,0.008812,0.008812,0.008812
8,74.7797,1.11958,1.24698,1.07723,0.40064,0.49282,0.38608,0.2539,1.20933,1.95902,1.20664,0.008614,0.008614,0.008614
9,82.3445,1.11336,1.19437,1.06295,0.50209,0.60779,0.48681,0.32046,1.1691,3.03013,1.15712,0.008416,0.008416,0.008416
10,89.9157,1.09065,1.16376,1.06756,0.57525,0.2827,0.27089,0.11399,2.25901,3.04426,1.81461,0.008218,0.008218,0.008218
11,97.4664,1.06855,1.10794,1.05554,0.62752,0.63236,0.61169,0.37265,1.3102,1.30866,1.27789,0.00802,0.00802,0.00802
12,105.078,1.09332,1.0863,1.07538,0.4538,0.59059,0.512,0.36017,1.07704,1.62001,1.13232,0.007822,0.007822,0.007822
13,112.657,1.06273,1.06654,1.05109,0.6607,0.60146,0.62169,0.4523,0.97715,1.27826,1.0373,0.007624,0.007624,0.007624
14,120.389,1.02663,1.03878,1.01862,0.60891,0.7862,0.74524,0.54257,1.00979,1.01511,1.05021,0.007426,0.007426,0.007426
15,128.078,1.00316,0.99993,1.03251,0.56361,0.52849,0.5369,0.35377,1.15661,1.47252,1.15437,0.007228,0.007228,0.007228
16,135.811,0.98778,0.99288,1.01162,0.63677,0.50978,0.55776,0.38761,1.1022,1.46741,1.12983,0.00703,0.00703,0.00703
17,143.622,1.00378,0.95113,1.01927,0.64984,0.69931,0.75555,0.51896,1.04387,0.99557,1.06463,0.006832,0.006832,0.006832
18,151.472,1.00137,0.9511,1.03086,0.81552,0.63949,0.79354,0.59315,0.9394,1.00888,1.03401,0.006634,0.006634,0.006634
19,159.45,0.954,0.8708,1.00096,0.65804,0.59162,0.6467,0.41206,1.19679,1.31746,1.1544,0.006436,0.006436,0.006436
20,167.273,0.97815,0.87653,1.01049,0.72567,0.74431,0.78397,0.56985,1.03009,1.04247,1.05752,0.006238,0.006238,0.006238
21,175.065,0.94077,0.84704,1.011,0.65994,0.72868,0.77587,0.57086,0.96483,1.12286,1.03397,0.00604,0.00604,0.00604
22,182.917,0.95032,0.85924,1.0073,0.78214,0.7458,0.8252,0.61249,0.94956,0.89455,1.048,0.005842,0.005842,0.005842
23,190.762,0.92568,0.83865,0.9965,0.78768,0.77705,0.84286,0.65203,0.87346,0.80158,0.9996,0.005644,0.005644,0.005644
24,198.636,0.92839,0.77322,0.99877,0.816,0.85377,0.89225,0.68596,0.87524,0.72595,0.99872,0.005446,0.005446,0.005446
25,206.537,0.91472,0.75307,0.98512,0.76647,0.75415,0.8397,0.63026,0.94669,0.78222,1.04636,0.005248,0.005248,0.005248
26,214.393,0.93482,0.75471,0.99364,0.75069,0.81773,0.87926,0.64971,0.96815,0.8209,1.02163,0.00505,0.00505,0.00505
27,222.274,0.90841,0.77604,0.99017,0.75227,0.88548,0.89406,0.69194,0.87068,0.74243,1.00532,0.004852,0.004852,0.004852
28,230.195,0.88956,0.71994,0.98969,0.75317,0.81582,0.83701,0.6493,0.85966,0.83955,1.00376,0.004654,0.004654,0.004654
29,238.13,0.89055,0.70379,0.99002,0.72786,0.79364,0.83629,0.65227,0.86535,0.76079,1.01219,0.004456,0.004456,0.004456
30,246.043,0.87212,0.71613,0.97539,0.73758,0.83546,0.84994,0.6095,1.00001,0.83886,1.04701,0.004258,0.004258,0.004258
31,253.939,0.89321,0.70436,0.97526,0.78968,0.8719,0.91979,0.68655,0.89956,0.67925,1.01369,0.00406,0.00406,0.00406
32,261.917,0.86738,0.69023,0.9741,0.84414,0.82399,0.91735,0.70903,0.85616,0.67693,0.98406,0.003862,0.003862,0.003862
33,269.848,0.86246,0.67196,0.97396,0.837,0.87259,0.93105,0.71467,0.85349,0.68377,0.9856,0.003664,0.003664,0.003664
34,277.841,0.84664,0.6628,0.95615,0.83786,0.85224,0.91309,0.69801,0.88887,0.70646,0.99797,0.003466,0.003466,0.003466
35,285.802,0.82127,0.61323,0.95142,0.90716,0.84036,0.9404,0.74091,0.85484,0.62381,0.97981,0.003268,0.003268,0.003268
36,293.706,0.84138,0.62316,0.96589,0.82944,0.89784,0.94119,0.74577,0.8696,0.64177,1.01282,0.00307,0.00307,0.00307
37,301.641,0.84188,0.63952,0.96237,0.91294,0.86352,0.93082,0.72101,0.87288,0.63076,0.99671,0.002872,0.002872,0.002872
38,309.659,0.82397,0.61355,0.95734,0.82525,0.86714,0.91187,0.71124,0.84052,0.64985,0.98105,0.002674,0.002674,0.002674
39,317.618,0.80203,0.61015,0.94073,0.90516,0.90003,0.9634,0.75745,0.84463,0.57145,0.99652,0.002476,0.002476,0.002476
40,325.672,0.80339,0.58915,0.9399,0.86393,0.86014,0.94853,0.74835,0.83056,0.56912,0.97984,0.002278,0.002278,0.002278
41,365.766,0.7885,0.55772,0.93474,0.84761,0.92041,0.94408,0.75817,0.81457,0.62639,0.96864,0.00208,0.00208,0.00208
42,375.012,0.75874,0.57528,0.93587,0.90373,0.80665,0.92615,0.74757,0.79681,0.60069,0.9652,0.001882,0.001882,0.001882
43,382.692,0.74186,0.51241,0.93203,0.90506,0.90434,0.96658,0.77995,0.76831,0.5317,0.94532,0.001684,0.001684,0.001684
44,390.41,0.73559,0.49475,0.93065,0.83821,0.91096,0.94462,0.7604,0.80484,0.55441,0.95966,0.001486,0.001486,0.001486
