epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3017,1.47671,2.87012,1.22218,0.00602,0.1158,0.00374,0.00119,2.16496,inf,3.32719,0.0706122,0.00326531,0.00326531
2,27.6623,1.36194,1.71749,1.24023,0.00213,0.31222,0.00149,0.00063,1.92423,81.5156,1.57387,0.0404816,0.00646799,0.00646799
3,36.8775,1.32277,1.64215,1.24491,0.47146,0.17079,0.13733,0.07516,2.04372,6.8691,1.75144,0.0102189,0.00953867,0.00953867
4,45.2258,1.25171,1.474,1.19405,0.50791,0.57024,0.44742,0.29397,1.14957,2.70199,1.24783,0.009406,0.009406,0.009406
5,53.4952,1.23036,1.43739,1.15879,0.56368,0.49521,0.40328,0.24921,1.21645,2.28096,1.16511,0.009208,0.009208,0.009208
6,62.142,1.19038,1.41974,1.13835,0.42537,0.59047,0.46259,0.30663,1.15149,1.50663,1.20978,0.00901,0.00901,0.00901
7,70.5696,1.17301,1.34342,1.12944,0.58875,0.63142,0.58123,0.38308,1.15197,1.44597,1.2365,0.008812,0.008812,0.008812
8,78.9278,1.11879,1.24592,1.12855,0.65509,0.53546,0.50668,0.35056,1.0823,1.38295,1.15317,0.008614,0.008614,0.008614
9,87.4405,1.12603,1.21425,1.08811,0.51702,0.69352,0.58202,0.3996,1.02947,1.69227,1.15765,0.008416,0.008416,0.008416
10,95.9025,1.09372,1.14197,1.10513,0.53192,0.83934,0.65116,0.4655,0.98695,1.08824,1.10012,0.008218,0.008218,0.008218
11,104.464,1.08043,1.12643,1.06989,0.58386,0.67957,0.62693,0.40873,1.16203,1.17971,1.20855,0.00802,0.00802,0.00802
12,113.115,1.04656,1.14135,1.07513,0.5617,0.67604,0.65909,0.49072,0.93683,1.46582,1.07202,0.007822,0.007822,0.007822
13,121.801,1.02917,1.07739,1.05624,0.5732,0.75549,0.69164,0.49378,1.03151,1.10149,1.13525,0.007624,0.007624,0.007624
14,130.468,1.03786,1.05209,1.06743,0.62731,0.65734,0.69618,0.48196,1.06748,0.99992,1.1546,0.007426,0.007426,0.007426
15,139.071,1.02431,1.04317,1.07357,0.58847,0.78697,0.74061,0.51898,1.00945,1.01055,1.12208,0.007228,0.007228,0.007228
16,147.721,0.99515,1.00273,1.03546,0.50885,0.71027,0.68022,0.51226,0.95284,1.07898,1.09005,0.00703,0.00703,0.00703
17,156.442,1.02075,0.98131,1.05866,0.66468,0.69135,0.7074,0.52301,0.94929,0.96703,1.06641,0.006832,0.006832,0.006832
18,165.192,1.00254,0.95582,1.04562,0.67433,0.76636,0.78119,0.56493,0.99342,0.94858,1.12688,0.006634,0.006634,0.006634
19,173.961,0.97221,0.89223,1.03554,0.74666,0.79183,0.84738,0.63647,0.91567,0.79648,1.08537,0.006436,0.006436,0.006436
20,182.721,0.97477,0.89744,1.04449,0.67102,0.69824,0.74118,0.54445,0.9291,0.90036,1.099,0.006238,0.006238,0.006238
21,191.519,0.99388,0.90719,1.05261,0.72584,0.69873,0.77197,0.55737,0.98318,0.98174,1.12465,0.00604,0.00604,0.00604
22,200.31,0.9758,0.86727,1.04404,0.76875,0.71876,0.79239,0.60041,0.91344,0.90093,1.074,0.005842,0.005842,0.005842
23,209.119,0.94224,0.82904,1.0161,0.71781,0.7554,0.81198,0.59491,0.9479,0.82556,1.10216,0.005644,0.005644,0.005644
24,217.965,0.93981,0.80703,1.02417,0.76756,0.66172,0.79869,0.59838,0.90023,1.04624,1.05457,0.005446,0.005446,0.005446
25,226.759,0.92807,0.78534,1.022,0.78559,0.79077,0.88386,0.66167,0.92975,0.77951,1.05539,0.005248,0.005248,0.005248
26,235.693,0.93787,0.77972,1.01353,0.74597,0.79654,0.86207,0.65492,0.86873,0.72276,1.04401,0.00505,0.00505,0.00505
27,244.592,0.91992,0.77375,1.01448,0.75932,0.62902,0.73461,0.55964,0.86392,1.50597,1.03871,0.004852,0.004852,0.004852
28,253.507,0.92773,0.78194,1.01309,0.7996,0.81069,0.87584,0.67833,0.85852,0.71682,1.04688,0.004654,0.004654,0.004654
29,262.47,0.9038,0.75142,1.02358,0.79893,0.79595,0.86008,0.65611,0.90005,0.73911,1.06849,0.004456,0.004456,0.004456
30,271.307,0.88129,0.74469,1.01277,0.73951,0.82396,0.86897,0.66502,0.86342,0.77197,1.03895,0.004258,0.004258,0.004258
31,280.246,0.8858,0.71456,1.01066,0.78497,0.84356,0.9021,0.70309,0.85905,0.67228,1.04652,0.00406,0.00406,0.00406
32,289.169,0.8695,0.68702,0.98533,0.84549,0.80259,0.91529,0.70181,0.87646,0.64926,1.05644,0.003862,0.003862,0.003862
33,298.224,0.84555,0.67659,0.98043,0.83047,0.8382,0.93691,0.7265,0.85171,0.64692,1.02846,0.003664,0.003664,0.003664
34,307.231,0.8683,0.69624,0.98548,0.87642,0.87561,0.92352,0.73142,0.81525,0.62563,1.02011,0.003466,0.003466,0.003466
35,316.188,0.83915,0.6554,0.9804,0.89642,0.85334,0.93455,0.7341,0.81894,0.60489,1.01729,0.003268,0.003268,0.003268
36,325.116,0.86035,0.66932,0.9939,0.8568,0.83361,0.90957,0.70752,0.83291,0.70881,1.03586,0.00307,0.00307,0.00307
37,334.16,0.85499,0.66027,0.98728,0.84448,0.8627,0.93818,0.73008,0.8573,0.59294,1.02882,0.002872,0.002872,0.002872
38,342.804,0.81937,0.61501,0.97186,0.85774,0.83506,0.91956,0.72107,0.83228,0.56397,1.01694,0.002674,0.002674,0.002674
39,351.749,0.82213,0.63122,0.96875,0.83633,0.88994,0.94369,0.73888,0.80557,0.57308,1.00805,0.002476,0.002476,0.002476
40,360.822,0.82749,0.61469,0.97016,0.85003,0.84272,0.93248,0.72555,0.83239,0.60069,1.01827,0.002278,0.002278,0.002278
41,397.033,0.78619,0.57427,0.96339,0.88772,0.88895,0.94496,0.71804,0.87137,0.57546,1.04945,0.00208,0.00208,0.00208
42,405.645,0.7732,0.5546,0.96856,0.82311,0.8644,0.91097,0.68333,0.89831,0.59433,1.05848,0.001882,0.001882,0.001882
43,414.313,0.76012,0.54718,0.95244,0.90347,0.88381,0.95695,0.74398,0.84784,0.54412,1.02718,0.001684,0.001684,0.001684
44,423.004,0.74988,0.50945,0.94774,0.916,0.88639,0.94877,0.74757,0.83429,0.53571,1.02172,0.001486,0.001486,0.001486
45,431.72,0.74516,0.5384,0.94673,0.89284,0.89958,0.95014,0.73718,0.84821,0.5476,1.0231,0.001288,0.001288,0.001288
46,440.549,0.73532,0.51121,0.94202,0.93286,0.8494,0.95153,0.76663,0.79459,0.52004,1.01293,0.00109,0.00109,0.00109
