epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8721,1.47671,2.87012,1.22218,0.00602,0.1158,0.00374,0.00119,2.16496,inf,3.32719,0.0706122,0.00326531,0.00326531
2,21.9734,1.3514,1.69504,1.23689,0.03894,0.09819,0.00971,0.00358,1.77896,52.1321,1.58252,0.0405469,0.00653331,0.00653331
3,30.0445,1.30366,1.59959,1.22214,0.27168,0.28331,0.15579,0.08402,1.59285,5.22998,1.42215,0.0104156,0.00973532,0.00973532
4,38.2714,1.27478,1.49417,1.21006,0.47002,0.38578,0.20687,0.12272,1.22352,10.3007,1.31,0.009703,0.009703,0.009703
5,46.4054,1.19689,1.37899,1.17199,0.30407,0.45663,0.46705,0.31118,1.14713,1.89034,1.28288,0.009604,0.009604,0.009604
6,54.6289,1.18631,1.36624,1.16437,0.32426,0.44358,0.36395,0.22066,1.4073,2.1122,1.38822,0.009505,0.009505,0.009505
7,62.8211,1.19704,1.36269,1.13052,0.67561,0.58093,0.57302,0.36259,1.19601,1.61981,1.25859,0.009406,0.009406,0.009406
8,71.1612,1.13556,1.25387,1.12519,0.51068,0.72211,0.61121,0.43175,1.02591,1.15193,1.16001,0.009307,0.009307,0.009307
9,79.577,1.09474,1.18577,1.07899,0.55273,0.72079,0.638,0.45521,1.01121,1.15205,1.12678,0.009208,0.009208,0.009208
10,88.1577,1.07713,1.14695,1.09172,0.68278,0.6061,0.63395,0.46744,0.95802,1.15414,1.10498,0.009109,0.009109,0.009109
11,96.7376,1.09587,1.16114,1.06969,0.58418,0.52575,0.54669,0.30391,1.41677,1.34498,1.41522,0.00901,0.00901,0.00901
12,105.307,1.06699,1.18391,1.08584,0.51573,0.65778,0.62961,0.45825,0.96317,1.47657,1.11979,0.008911,0.008911,0.008911
13,113.937,1.06145,1.14143,1.07438,0.57416,0.726,0.65562,0.46203,1.0283,1.15489,1.16727,0.008812,0.008812,0.008812
14,122.637,1.02927,1.06748,1.07649,0.53306,0.81072,0.72544,0.51192,1.06582,1.03324,1.18705,0.008713,0.008713,0.008713
15,131.52,1.08015,1.06957,1.10507,0.62311,0.67582,0.63708,0.42427,1.18356,1.64444,1.23826,0.008614,0.008614,0.008614
16,140.262,1.02662,1.02926,1.05485,0.70609,0.68523,0.76237,0.55809,0.94418,0.94757,1.09307,0.008515,0.008515,0.008515
17,149.106,1.03653,1.00948,1.07748,0.67334,0.73352,0.69221,0.51349,0.91901,1.06586,1.078,0.008416,0.008416,0.008416
18,158.152,1.01276,0.97765,1.06528,0.58201,0.71114,0.68538,0.4862,1.03375,1.26145,1.17073,0.008317,0.008317,0.008317
19,167.136,0.98625,0.95829,1.04357,0.58269,0.58249,0.5817,0.36058,1.38436,1.60611,1.31302,0.008218,0.008218,0.008218
