epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9346,1.62214,3.66542,1.27935,0.00037,0.03505,0.00017,5e-05,1.88603,33.0876,2.34382,0.0784,0.0024,0.0024
2,28.3715,1.41467,1.88126,1.21211,0.00037,0.03505,0.00017,5e-05,3.85605,inf,25.5164,0.0558515,0.00485149,0.00485149
3,37.0775,1.30774,1.60704,1.16965,0.00065,0.09752,0.00041,0.00013,1.89744,inf,1.97128,0.0332535,0.00725348,0.00725348
4,47.9088,1.23388,1.4269,1.15043,0.02822,0.11628,0.01129,0.00504,2.55093,63.7357,2.90329,0.010606,0.00960597,0.00960597
5,55.7231,1.22426,1.42231,1.14747,0.40385,0.1942,0.1044,0.05025,2.04924,6.84421,2.15122,0.009604,0.009604,0.009604
6,64.0732,1.24034,1.40156,1.13919,0.14024,0.8627,0.20476,0.12747,1.25649,inf,1.25913,0.009505,0.009505,0.009505
7,72.1144,1.17154,1.26909,1.11937,0.68277,0.42472,0.42984,0.27142,1.29975,2.03316,1.30555,0.009406,0.009406,0.009406
8,79.9143,1.13567,1.24675,1.08158,0.42176,0.57302,0.39188,0.23759,1.33569,2.22471,1.31335,0.009307,0.009307,0.009307
9,87.5806,1.15119,1.2322,1.08623,0.60973,0.57745,0.60588,0.39708,1.15251,1.60635,1.19751,0.009208,0.009208,0.009208
10,95.4127,1.08156,1.19364,1.07353,0.55587,0.54543,0.56976,0.38569,1.09983,1.2945,1.16819,0.009109,0.009109,0.009109
11,103.272,1.10131,1.15731,1.07283,0.62542,0.58484,0.60735,0.41567,1.14636,1.24844,1.18929,0.00901,0.00901,0.00901
12,111.271,1.09601,1.06619,1.07409,0.39797,0.39356,0.33375,0.21346,1.25495,2.54232,1.26317,0.008911,0.008911,0.008911
13,119.159,1.10789,1.08812,1.07009,0.54493,0.56169,0.53733,0.39266,1.04806,2.12208,1.1034,0.008812,0.008812,0.008812
14,127.126,1.06774,1.04678,1.04894,0.59398,0.71619,0.71885,0.49025,1.09888,1.11767,1.10296,0.008713,0.008713,0.008713
15,135.139,1.01335,1.05931,1.03565,0.66428,0.63234,0.67239,0.46854,1.04042,1.325,1.08528,0.008614,0.008614,0.008614
16,143.252,1.02518,1.01544,1.02499,0.56826,0.56656,0.61374,0.44291,1.02486,1.49678,1.06979,0.008515,0.008515,0.008515
17,151.4,1.02412,0.99526,1.0281,0.65927,0.74135,0.75366,0.55007,0.96464,0.94347,1.04921,0.008416,0.008416,0.008416
18,159.619,1.03199,0.97786,1.04459,0.67295,0.66417,0.71677,0.51854,0.99787,1.24892,1.06248,0.008317,0.008317,0.008317
19,167.636,0.9858,0.95699,1.01383,0.66639,0.70346,0.76695,0.53456,1.05072,1.11588,1.08815,0.008218,0.008218,0.008218
20,175.68,1.003,0.89871,1.02212,0.62387,0.70469,0.71926,0.51311,1.1038,1.1121,1.12156,0.008119,0.008119,0.008119
21,183.706,0.9827,0.88104,1.0278,0.7375,0.74362,0.81274,0.58502,1.01798,0.97192,1.04715,0.00802,0.00802,0.00802
22,191.664,0.99518,0.86439,1.02364,0.62306,0.71296,0.7245,0.50242,1.11988,1.09343,1.09709,0.007921,0.007921,0.007921
23,199.666,0.95653,0.86129,1.00863,0.46191,0.6885,0.60489,0.45811,0.95207,1.41338,1.02405,0.007822,0.007822,0.007822
24,207.781,0.96585,0.81266,1.01114,0.7443,0.73542,0.78101,0.52819,1.11219,1.00509,1.13016,0.007723,0.007723,0.007723
25,215.854,0.94337,0.81921,1.00084,0.60814,0.7026,0.70438,0.50866,0.9933,0.99974,1.08586,0.007624,0.007624,0.007624
26,223.96,0.97627,0.80927,1.0192,0.80032,0.80521,0.83823,0.62822,0.93988,0.87656,1.04707,0.007525,0.007525,0.007525
27,231.982,0.93161,0.77775,1.0031,0.79414,0.72141,0.80437,0.59052,0.99909,1.06027,1.066,0.007426,0.007426,0.007426
28,240.054,0.92414,0.77114,1.00083,0.77435,0.74883,0.84562,0.62735,0.9527,0.89605,1.04692,0.007327,0.007327,0.007327
29,248.101,0.92035,0.75351,1.00523,0.76713,0.74845,0.82578,0.59699,0.99972,0.93902,1.05033,0.007228,0.007228,0.007228
30,256.23,0.91266,0.79285,0.99703,0.66448,0.8526,0.8503,0.6469,0.92869,0.89618,1.02002,0.007129,0.007129,0.007129
31,264.342,0.91435,0.76461,0.9874,0.82365,0.81007,0.862,0.65429,0.92948,0.75508,1.03673,0.00703,0.00703,0.00703
32,272.519,0.91993,0.76522,0.99997,0.85498,0.80078,0.90714,0.69804,0.88946,0.84853,1.02684,0.006931,0.006931,0.006931
33,280.607,0.90789,0.74304,0.99995,0.83931,0.71989,0.81573,0.61734,0.91045,1.00377,1.04188,0.006832,0.006832,0.006832
34,288.703,0.89964,0.71757,0.97846,0.85585,0.73758,0.85235,0.65014,0.91545,0.88252,1.01478,0.006733,0.006733,0.006733
35,296.827,0.88366,0.69248,0.97661,0.81936,0.80022,0.88841,0.67832,0.91005,0.76087,1.03085,0.006634,0.006634,0.006634
36,305.06,0.8956,0.68532,0.98897,0.82325,0.68012,0.82857,0.59823,0.97804,0.88331,1.07411,0.006535,0.006535,0.006535
37,313.217,0.88787,0.69553,0.98226,0.73547,0.77906,0.8184,0.615,0.94212,0.83613,1.05258,0.006436,0.006436,0.006436
38,321.32,0.88665,0.68411,0.98779,0.90353,0.7869,0.91342,0.69977,0.89594,0.67809,1.00704,0.006337,0.006337,0.006337
39,329.436,0.85227,0.66355,0.95969,0.82555,0.86466,0.92794,0.70846,0.88849,0.6846,1.01997,0.006238,0.006238,0.006238
40,337.673,0.85325,0.65696,0.96406,0.85239,0.80216,0.91249,0.72088,0.83808,0.67874,0.99739,0.006139,0.006139,0.006139
41,345.978,0.87363,0.68486,0.97921,0.78563,0.78043,0.84743,0.64849,0.87913,0.74874,1.01222,0.00604,0.00604,0.00604
42,354.271,0.89288,0.69604,0.97196,0.74761,0.81957,0.88251,0.68439,0.86952,0.71937,1.01414,0.005941,0.005941,0.005941
43,362.416,0.85842,0.66831,0.96519,0.88222,0.8458,0.92529,0.72685,0.86449,0.65157,0.99772,0.005842,0.005842,0.005842
44,370.581,0.85096,0.65696,0.97224,0.85377,0.82565,0.89024,0.6852,0.92715,0.70346,1.02956,0.005743,0.005743,0.005743
45,378.772,0.84378,0.65276,0.97714,0.83914,0.81079,0.91044,0.71104,0.88331,0.68421,1.01473,0.005644,0.005644,0.005644
46,386.945,0.8488,0.64356,0.97276,0.84676,0.87549,0.93022,0.72315,0.88403,0.66143,0.99883,0.005545,0.005545,0.005545
47,395.114,0.87073,0.64303,0.97416,0.84056,0.87836,0.93242,0.73149,0.85919,0.66658,0.99303,0.005446,0.005446,0.005446
48,403.291,0.84445,0.59606,0.96311,0.88089,0.85156,0.92856,0.7183,0.88666,0.69708,1.02716,0.005347,0.005347,0.005347
49,411.433,0.84331,0.60429,0.95915,0.78118,0.88709,0.89781,0.71825,0.83547,0.64949,0.98422,0.005248,0.005248,0.005248
50,419.615,0.85204,0.59381,0.96285,0.81065,0.85621,0.88832,0.69243,0.89017,0.69079,1.00867,0.005149,0.005149,0.005149
51,427.751,0.86494,0.62047,0.9746,0.81729,0.82927,0.92405,0.73924,0.82689,0.77743,0.99477,0.00505,0.00505,0.00505
52,436.115,0.84392,0.61659,0.95984,0.83859,0.84176,0.93652,0.75069,0.81463,0.64892,0.99219,0.004951,0.004951,0.004951
53,444.745,0.80391,0.57951,0.95209,0.91823,0.86995,0.95379,0.76298,0.80972,0.57308,0.98973,0.004852,0.004852,0.004852
54,453.375,0.80922,0.57778,0.95995,0.90655,0.83577,0.95418,0.76776,0.81555,0.56217,0.99354,0.004753,0.004753,0.004753
55,461.659,0.8222,0.58768,0.95138,0.95361,0.81166,0.94392,0.75758,0.82941,0.58005,0.99122,0.004654,0.004654,0.004654
56,469.796,0.78596,0.57434,0.9385,0.88114,0.88114,0.9561,0.75216,0.83449,0.59834,0.9879,0.004555,0.004555,0.004555
57,478.021,0.80156,0.55936,0.94492,0.91824,0.85568,0.94532,0.76426,0.82288,0.61066,0.99395,0.004456,0.004456,0.004456
58,486.402,0.80365,0.55804,0.95462,0.84504,0.84178,0.92646,0.73186,0.87265,0.63493,1.01894,0.004357,0.004357,0.004357
59,494.726,0.82209,0.55349,0.96129,0.89292,0.85,0.9506,0.71936,0.91451,0.58222,1.04374,0.004258,0.004258,0.004258
60,502.958,0.83832,0.57542,0.95704,0.89943,0.83452,0.93601,0.74009,0.82431,0.57824,0.99571,0.004159,0.004159,0.004159
61,511.129,0.8085,0.56065,0.94627,0.89556,0.91384,0.96509,0.7757,0.82652,0.52494,0.98941,0.00406,0.00406,0.00406
62,519.347,0.76765,0.54944,0.93184,0.87296,0.92338,0.96669,0.77167,0.83427,0.52946,0.98677,0.003961,0.003961,0.003961
63,527.5,0.76887,0.54039,0.93118,0.94413,0.88261,0.96351,0.77815,0.80537,0.50867,0.95854,0.003862,0.003862,0.003862
64,535.861,0.78539,0.54063,0.94221,0.93844,0.85731,0.96477,0.78136,0.78183,0.52398,0.95565,0.003763,0.003763,0.003763
65,544.205,0.79074,0.54147,0.94059,0.86017,0.95682,0.9646,0.77144,0.81557,0.52156,0.97246,0.003664,0.003664,0.003664
66,552.35,0.78069,0.53933,0.94279,0.884,0.94081,0.96446,0.75856,0.84709,0.52048,0.99892,0.003565,0.003565,0.003565
67,560.476,0.77439,0.54119,0.94258,0.93844,0.87516,0.96365,0.76212,0.82519,0.52596,0.98197,0.003466,0.003466,0.003466
68,568.669,0.75643,0.52343,0.9318,0.90636,0.92205,0.96552,0.79018,0.7854,0.51709,0.96204,0.003367,0.003367,0.003367
69,576.814,0.77164,0.5134,0.93873,0.9422,0.85912,0.96337,0.77221,0.79325,0.55727,0.95869,0.003268,0.003268,0.003268
70,585.03,0.75614,0.50532,0.92259,0.87157,0.92286,0.96358,0.76722,0.83601,0.5184,0.99354,0.003169,0.003169,0.003169
71,593.173,0.76556,0.51287,0.93863,0.85339,0.9443,0.96416,0.78551,0.79352,0.51035,0.97384,0.00307,0.00307,0.00307
72,601.471,0.75585,0.50335,0.93022,0.9095,0.92189,0.96795,0.79312,0.76756,0.48799,0.95757,0.002971,0.002971,0.002971
73,609.725,0.74914,0.49418,0.91227,0.92411,0.90323,0.96804,0.78542,0.80022,0.48711,0.96504,0.002872,0.002872,0.002872
74,617.928,0.75004,0.50685,0.92432,0.93662,0.8828,0.96733,0.79102,0.7908,0.5115,0.97411,0.002773,0.002773,0.002773
