epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8808,1.4403,2.57439,1.23319,0.20561,0.18877,0.18047,0.10519,1.36767,6.10823,1.24287,0.0701531,0.00331633,0.00331633
2,39.4384,1.41951,1.81096,1.23449,0.34346,0.42402,0.34894,0.20144,1.35951,2.00306,1.26882,0.0400872,0.00658383,0.00658383
3,54.9721,1.42802,1.66316,1.24479,0.3861,0.53555,0.42601,0.27525,1.22662,1.89181,1.15293,0.0099554,0.00978533,0.00978533
4,70.3515,1.36596,1.57974,1.21298,0.55583,0.54601,0.4647,0.29216,1.23652,1.56943,1.20481,0.009703,0.009703,0.009703
5,85.6141,1.33518,1.49852,1.19729,0.60892,0.58065,0.50165,0.32833,1.18542,1.38458,1.14795,0.009604,0.009604,0.009604
6,101.068,1.27854,1.43966,1.16019,0.64967,0.53122,0.52497,0.37795,1.05076,1.29103,1.07479,0.009505,0.009505,0.009505
7,116.638,1.19989,1.38841,1.12721,0.47537,0.71909,0.53789,0.38794,1.0482,1.26605,1.06608,0.009406,0.009406,0.009406
8,132.929,1.1998,1.3913,1.11714,0.45044,0.6992,0.5542,0.37842,1.09566,1.32393,1.09182,0.009307,0.009307,0.009307
9,149.347,1.15132,1.28052,1.10178,0.61001,0.68649,0.61358,0.43703,1.03112,1.19757,1.08616,0.009208,0.009208,0.009208
10,166.306,1.09773,1.26858,1.08193,0.48845,0.78988,0.63934,0.4696,0.95944,1.10331,1.04067,0.009109,0.009109,0.009109
11,183.53,1.10132,1.21205,1.06617,0.43952,0.71306,0.59157,0.41753,1.06797,1.18299,1.08275,0.00901,0.00901,0.00901
12,201.12,1.10165,1.23999,1.08234,0.6536,0.69049,0.68106,0.48865,1.00941,1.10658,1.05377,0.008911,0.008911,0.008911
13,218.665,1.13115,1.1862,1.08083,0.71399,0.68724,0.73843,0.54594,0.98264,1.02654,1.06716,0.008812,0.008812,0.008812
